Monthly average surface air temperature anomalies
Data source: ERA5
Reference period: 1991-2020
Col. 1: last month of the time period as YYYYMM
Col. 2,3: weighted averages for the following regions and surfaces (ocean, land)
Global: all surfaces (180W, 180E, 90S, 90N)
European: land only (25W-40E, 34N-72N)

Month,global,European
199403,-0.4182,0.3109
199404,-0.2804,0.1412
199405,-0.3485,-0.8632
199406,-0.2543,-1.0813
199407,-0.2756,0.6912
199408,-0.3848,-0.1445
199409,-0.2389,0.6148
199410,-0.2924,-0.5474
199411,-0.2496,-0.1049
199412,-0.2721,0.026
199501,-0.1287,0.0888
199502,0.0656,2.8475
199503,-0.2355,0.0997
199504,-0.1192,-0.6796
199505,-0.2352,-0.4966
199506,-0.0863,0.0334
199507,-0.1049,-0.3557
199508,-0.1074,-0.5412
199509,-0.2008,-0.9149
199510,-0.1953,0.7119
199511,-0.2244,-2.0221
199512,-0.3406,-2.3889
199601,-0.3591,-1.1341
199602,-0.2218,-2.8719
199603,-0.3101,-2.5395
199604,-0.3443,-0.8693
199605,-0.3672,-0.2648
199606,-0.3161,-0.559
199607,-0.2074,-1.3798
199608,-0.1121,-0.4336
199609,-0.3278,-2.3062
199610,-0.4407,-0.2882
199611,-0.2197,0.8299
199612,-0.2461,-1.5809
199701,-0.3689,-0.8927
199702,-0.3141,0.916
199703,-0.17,-0.0617
199704,-0.3278,-2.3634
199705,-0.2524,-0.5326
199706,-0.0803,-0.2274
199707,-0.1731,-0.8142
199708,-0.1345,-0.0485
199709,-0.0649,-0.8705
199710,-0.0533,-1.282
199711,-0.0185,-0.2098
199712,-0.048,-0.3653
199801,-0.0476,1.0812
199802,0.1544,0.678
199803,-0.0351,-1.0645
199804,0.121,-0.5164
199805,0.1782,-0.3415
199806,0.1829,0.1036
199807,0.1207,-0.5443
199808,0.1409,-0.8351
199809,-0.053,-0.3053
199810,-0.1781,-0.3605
199811,-0.2393,-2.927
199812,-0.0875,-1.5171
199901,-0.2266,0.1368
199902,-0.0477,-0.7411
199903,-0.3905,0.2638
199904,-0.3033,0.754
199905,-0.2974,-0.786
199906,-0.2325,0.885
199907,-0.203,0.4976
199908,-0.2381,-0.6312
199909,-0.2009,1.0007
199910,-0.3018,0.4165
199911,-0.3032,-1.0653
199912,-0.2237,0.1281
200001,-0.3892,-0.8455
200002,-0.1362,1.4363
200003,-0.2183,-0.0622
200004,-0.0825,1.2314
200005,-0.2207,0.3235
200006,-0.2442,-0.2438
200007,-0.2388,-0.812
200008,-0.1756,-0.3014
200009,-0.2389,-0.6138
200010,-0.3961,0.832
200011,-0.3467,1.3921
200012,-0.3424,1.3612
200101,-0.2294,1.5958
200102,-0.2825,-0.4035
200103,-0.1589,0.2234
200104,-0.1532,0.0455
200105,-0.0459,-0.3865
200106,-0.1112,-0.6409
200107,-0.0215,0.7763
200108,-0.0515,0.1728
200109,-0.0784,-0.4626
200110,-0.1064,1.3199
200111,0.0995,-1.0609
200112,0.03,-3.2972
200201,0.0956,-0.1216
200202,-0.0078,3.0172
200203,0.1913,1.2815
200204,-0.0635,-0.0156
200205,0.0799,0.4004
200206,0.0229,0.4903
200207,0.0329,0.5283
200208,-0.0471,-0.0966
200209,0.005,-0.6424
200210,-0.0813,-1.3247
200211,-0.0549,-0.1709
200212,-0.1223,-2.7766
200301,0.1069,-1.262
200302,-0.0872,-2.1062
200303,-0.1657,-0.3555
200304,-0.1199,-1.0359
200305,-0.0137,1.2998
200306,-0.1391,0.4941
200307,-0.0483,0.8132
200308,0.0454,0.7967
200309,0.0736,-0.2665
200310,0.1036,-1.2929
200311,-0.0376,0.9077
200312,0.1772,0.3083
200401,-0.0414,-0.8591
200402,0.0273,0.0263
200403,-0.0109,0.2016
200404,-0.0142,-0.1981
200405,-0.2103,-1.2659
200406,-0.0937,-0.782
200407,-0.2769,-0.6912
200408,-0.1621,-0.0767
200409,-0.0403,0.163
200410,0.0063,0.639
200411,0.071,-0.6489
200412,-0.0959,0.6698
200501,0.1479,1.3395
200502,0.0063,-1.9165
200503,0.0888,-1.9359
200504,0.0706,0.1584
200505,0.0695,0.148
200506,0.0762,-0.278
200507,0.0843,0.2066
200508,0.029,-0.5618
200509,0.1294,0.431
200510,0.1715,0.5511
200511,0.1313,0.0969
200512,0.1009,-0.3998
200601,-0.0434,-2.1807
200602,0.0897,-2.2652
200603,-0.0111,-2.0983
200604,-0.0698,0.1772
200605,-0.0718,0.0764
200606,0.0809,0.5311
200607,0.0023,0.7159
200608,0.0704,-0.1452
200609,0.0479,1.1027
200610,0.1375,1.2087
200611,0.1009,0.8412
200612,0.1951,2.2318
200701,0.3636,2.4067
200702,0.0883,-0.5791
200703,0.001,1.9485
200704,0.1739,0.3935
200705,0.0838,0.8724
200706,-0.024,0.6254
200707,0.0053,-0.1413
200708,-0.0193,0.3035
200709,-0.09,-0.592
200710,-0.0145,0.2898
200711,-0.0389,-1.1782
200712,-0.0894,0.4626
200801,-0.3276,1.0798
200802,-0.3205,2.0209
200803,0.0191,0.6265
200804,-0.1265,0.4244
200805,-0.1053,-0.3582
200806,-0.1986,-0.2209
200807,-0.0245,-0.3802
200808,-0.0796,-0.1653
200809,-0.0303,-0.9618
200810,0.0367,0.467
200811,0.0513,0.3707
200812,-0.0441,0.4678
200901,0.0601,-0.367
200902,-0.0344,-0.2465
200903,-0.1209,-0.2323
200904,-0.0599,0.2841
200905,-0.0041,0.4424
200906,0.0042,-0.1113
200907,0.1366,-0.084
200908,0.0446,-0.1482
200909,0.1035,0.5838
200910,0.0796,-0.3349
200911,0.1407,1.6003
200912,0.0679,-0.5963
201001,0.1941,-3.1346
201002,0.2225,-1.2077
201003,0.2693,-0.5808
201004,0.2526,0.4313
201005,0.1983,0.1364
201006,0.0863,0.055
201007,0.0509,1.7281
201008,0.0456,0.8452
201009,0.0988,-0.1951
201010,0.1159,-1.2186
201011,0.1336,0.448
201012,-0.1018,-2.682
201101,-0.09,-0.2883
201102,-0.1757,-2.1239
201103,-0.0583,-0.4048
201104,0.0138,1.2431
201105,-0.0418,0.2855
201106,0.0202,0.3877
201107,0.142,0.1374
201108,0.1102,-0.1166
201109,0.0471,1.2064
201110,0.0291,0.0382
201111,-0.0948,0.2008
201112,-0.0382,1.9895
201201,-0.1651,-0.2557
201202,-0.1787,-4.0005
201203,-0.1359,0.554
201204,0.0545,-0.0185
201205,0.1735,0.7085
201206,0.1192,0.3079
201207,0.0392,0.4812
201208,0.0758,0.2847
201209,0.1127,0.4504
201210,0.2187,0.4115
201211,0.1958,1.2979
201212,-0.0322,-1.7887
201301,0.1472,-0.2187
201302,0.016,0.5079
201303,0.0242,-2.6951
201304,-0.0362,-0.1222
201305,0.0214,0.8737
201306,0.1072,0.4282
201307,-0.0261,0.1111
201308,0.0541,0.2426
201309,0.1695,-0.4011
201310,0.051,0.6805
201311,0.1495,1.1495
201312,0.1264,0.8739
201401,0.1268,0.327
201402,-0.0966,2.7883
201403,0.09,2.1478
201404,0.109,1.0427
201405,0.1831,0.2254
201406,0.0725,-0.5771
201407,0.0659,0.6167
201408,0.1364,-0.0945
201409,0.1851,0.5553
201410,0.1638,0.4019
201411,0.0516,0.8252
201412,0.1884,0.7568
201501,0.1923,0.8861
201502,0.1979,1.0643
201503,0.228,1.2963
201504,0.0559,-0.0032
201505,0.1763,0.2341
201506,0.1867,-0.3072
201507,0.1538,0.0684
201508,0.2426,0.7942
201509,0.2676,1.0347
201510,0.4415,-0.3323
201511,0.3862,1.7393
201512,0.5394,2.5448
201601,0.5509,-1.2162
201602,0.6868,3.1814
201603,0.6251,0.7737
201604,0.529,0.9235
201605,0.415,0.5413
201606,0.2616,0.6086
201607,0.3607,0.5625
201608,0.4016,0.1872
201609,0.3584,0.9998
201610,0.3419,-0.4399
201611,0.4052,-0.7664
201612,0.3355,0.2122
201701,0.4033,-1.3144
201702,0.4986,1.137
201703,0.4989,2.0443
201704,0.3277,-0.6411
201705,0.3723,-0.1166
201706,0.2023,0.4284
201707,0.2657,-0.1755
201708,0.2963,0.5178
201709,0.2802,0.2478
